Study,N1,Mean1,SD1,N2,Mean2,SD2,Cohen's d,Hedges' g,SE,Items,Cronbach Alpha
34,95,48.38579015297168,8.659844650686253,78,52.711801991380305,19.595158321286682,-0.2956350999732947,-0.29433655634237244,0.15362106004948353,10,0.858964658700014
35,73,61.556931299863145,12.539556396577883,27,68.53098781757139,13.653558269395386,-0.5429593623046692,-0.538793433693636,0.22849440150602116,10,0.8738776540728296
36,88,54.95966899423762,16.528310214594633,80,60.819689990283536,5.654056576316506,-0.4656251839081459,-0.46351828262349365,0.156553169026868,10,0.9491825766196011
37,49,75.74321951102243,5.231849247933011,65,80.59401301229965,18.92477843881588,-0.32975977481016877,-0.32754662195909384,0.19044609498035753,10,0.8642276222475972
38,72,72.650472773368,10.776465929028879,79,77.12271723371592,17.767050072752852,-0.3011170550572756,-0.29959881780488595,0.16385162015840554,10,0.8475383007734416
39,37,49.73457334047361,18.95025252216248,44,56.95563904410517,6.056241962743158,-0.5329090678659154,-0.5278337434100495,0.2269522796799259,10,0.831337807642304
40,66,37.0042007618262,18.160596078919333,42,42.59584902364488,16.111529266313067,-0.32142045766064586,-0.31914087994674056,0.19859338140974267,10,0.9045523611492902
41,62,57.64099884539539,11.296712846694147,67,62.12354956363438,8.84310415391687,-0.4439793491357952,-0.44135225239534664,0.17837720521386288,10,0.8917270566298521
42,79,55.07581473435998,14.749458961666477,26,62.067290629193856,15.52950315886555,-0.4678909488453915,-0.4644756864450602,0.2283905684091741,10,0.9193689004154151
43,95,48.779147631997205,13.67420211494261,34,52.24905733120155,5.539134106951131,-0.2868086263688862,-0.28511153390516497,0.20064125836425112,10,0.869839702719869
44,82,44.327062606414216,5.457503749085742,81,50.28122890925927,5.5602228312382165,-1.0808495352907235,-1.0758066914246704,0.16770314877966602,10,0.9233900840989487
45,73,46.33256208980204,9.073143737296128,79,53.471907108739984,19.478777455861547,-0.46393201520156635,-0.46160848257117454,0.16451401458254095,10,0.8685897742420593
46,25,64.97561053835969,6.991181333644548,66,68.6673760004487,19.543053006712384,-0.21600039910359276,-0.21417504361821027,0.23538875875281404,10,0.9071892656269928
47,38,49.94104507223973,16.16063964498673,36,55.10864876014344,8.762907910199917,-0.3945560934251851,-0.39043181370297064,0.23483062418382095,10,0.8276500511497056
48,81,51.41572374700539,5.872903932626654,42,57.85822325083222,18.728205914397208,-0.5413068521973836,-0.5379446978359091,0.1932519418219391,10,0.8663528344596657
49,67,77.7432640331597,13.31531078767101,20,84.43274861663855,14.175811193515283,-0.4950621282753762,-0.4906810474941782,0.2575537153685568,10,0.8629400093641685
50,95,47.79863393256308,5.2159023294463385,45,54.587864484884925,6.741089607603744,-1.1814913974719774,-1.1750585949449066,0.1942523447695874,10,0.8069003963032629
51,81,53.70869145436626,12.374238126752484,88,57.19786225762127,12.102076561708486,-0.2852212223548603,-0.2839383682813002,0.15475787294656565,10,0.8259802804865023
52,42,77.4572865795693,8.91340435012571,29,84.89068851605954,5.229568104355772,-0.9734839651953443,-0.962864140120486,0.25488433078863193,10,0.9400154462119223
53,20,64.19818846990705,19.158374068411355,88,70.27744429185663,19.163773956877513,-0.317242462812398,-0.3149925162676292,0.24865553515035774,10,0.9300798400332505
54,51,63.85841711914909,6.9275052985086525,43,69.72525232750876,17.168062651040046,-0.4628920712103217,-0.4591082123175943,0.20976984097887813,10,0.9230959213615932
55,31,71.02134218856341,8.10026539815118,86,77.27876604785234,9.109416909817007,-0.706474653379558,-0.7018571719849204,0.21452017382868122,10,0.8321883679562562
56,65,31.94815661551168,10.048313223330897,21,38.039426037201146,14.835839530711132,-0.5356139923826143,-0.5308174491672476,0.2543060825785154,10,0.8578094931448348
57,93,43.034726411795155,15.393355380379091,53,48.514913683262186,10.225049066797961,-0.39847433490284045,-0.3963953383729126,0.1736789738939816,10,0.940497222778356
58,55,78.37902757601238,11.352064134621777,40,84.11888699225281,13.527804256249375,-0.4662241122936389,-0.4624541059947685,0.21053703733959478,10,0.8863886862887127
59,55,73.3558303604861,8.578952896855103,43,79.16516382120497,15.197671698503687,-0.48674095812984314,-0.4829283657685128,0.2065100266731302,10,0.9109863140671062
60,49,56.71637367652817,10.844271293288053,36,62.19917962994356,9.464527617639664,-0.5330852373404312,-0.5282536490865904,0.22328812628259384,10,0.8149977330742796
61,31,75.26909882096318,9.789704563856223,80,78.72553220489385,19.250929505762073,-0.20124942426665973,-0.19986149720275173,0.21199175206363666,10,0.9425910720406334
62,35,44.66053858490323,15.087776841155577,88,49.30386131175281,16.2856179415652,-0.29096928689007556,-0.2891620242385844,0.2006968459729576,10,0.9187368565588773
63,76,34.560305152434516,5.863381400249664,58,40.03240667594742,13.242933234856032,-0.560647615856035,-0.5574560734507824,0.17768548426979305,10,0.8662295752060065
64,94,78.43259719870674,17.554458113560607,37,84.87274724958193,18.00303057966262,-0.3642456876162242,-0.3621238680767122,0.1953758371124984,10,0.9257721145645977
65,65,41.12882087855152,18.37845363165165,32,46.112078888322785,7.199072325380382,-0.3187197718329812,-0.31619692403483096,0.2171594700937664,10,0.8769989253038589
66,57,48.71353978780601,17.191993508862538,27,53.56675052314047,19.20872866075788,-0.2717953030753436,-0.26930176818474416,0.2345647353286796,10,0.9479001595734307
67,23,48.81297927654579,16.65720373891155,55,52.23048286003913,13.376063746037076,-0.23727813125641556,-0.23492884282813423,0.24904012192956887,10,0.8636333013870464
68,38,51.72259222441357,11.078031301721257,58,55.99100309377926,13.57209537807516,-0.3374447731207783,-0.33474521493581205,0.21011957634087128,10,0.9111460791366002
69,91,71.13951759383465,15.215591406453635,80,77.86057587855115,8.56259706938705,-0.5354370480183545,-0.5330573278049395,0.155972094057418,10,0.8600334339308038
70,44,56.41850606486046,17.03163873540101,75,61.60018522289324,19.668510031314064,-0.2764657750330826,-0.2746897636303005,0.19074001804547183,10,0.8834007557963877
71,66,32.17003916490864,18.78673572917989,40,39.793255816026615,8.794852519838617,-0.4825261034248013,-0.47903796291811596,0.20310041029806683,10,0.9043116684659971
72,76,38.31077159546265,9.417409202591447,37,42.394817128395104,19.93747062544056,-0.2971933887114521,-0.2951807923996364,0.2014341965164581,10,0.9045387583795722
73,22,66.85503529215096,19.380536111117692,35,74.43130700049649,5.867958466365611,-0.5903512034136348,-0.5822642006271466,0.2776384684139999,10,0.8591782697912195
74,43,46.783003239848156,14.702725425030858,47,50.63140275932599,10.824025759848084,-0.30013038851583446,-0.29756517151997264,0.21220943527799668,10,0.8344092118557425
75,47,42.99749314271313,5.484739266644757,60,48.26369737685729,9.196452607534185,-0.6759220128109051,-0.6710824757263402,0.2001953336239794,10,0.8616810081308279
76,96,36.65925626118749,19.107977407030752,48,40.0402581591833,11.249585866077188,-0.1998689371485426,-0.19881142954458203,0.17716858332332727,10,0.8871743931771239
77,44,34.137421001765304,13.27381808816105,85,41.52072843139427,7.472513917055014,-0.7512551473453641,-0.7468098506155099,0.19151896679502484,10,0.8616882674878054
78,84,79.36380646574722,13.911960730282027,37,83.11589092126486,10.713362849465323,-0.2880140053347278,-0.28619496951156115,0.1981781170292622,10,0.9454871596721904
79,46,71.91643523555689,11.222292535064977,68,77.25990103453174,9.101106078960594,-0.5339436028027678,-0.5303600886899975,0.19415311698722573,10,0.8084563244976392
80,25,56.71731375147316,18.69748628386464,100,63.466867498823014,13.77724298488208,-0.45403469211669073,-0.45126054939500015,0.2254430970479735,10,0.9089181266107772
81,93,48.89252746378932,8.075679927597873,93,53.09795162543748,8.771636592676977,-0.49881421675614873,-0.49677824036122564,0.1489101593084353,10,0.8412097695538864
82,23,73.91103337395961,5.7034470168682985,81,80.69602903482075,9.03008723037961,-0.8053952943276024,-0.7994587196765389,0.24278077595018435,10,0.8033277113045453
83,53,68.61591958678196,17.7827225047781,73,74.21673709234193,13.278602581617283,-0.3653642959349479,-0.36314996686867546,0.18192383331646844,10,0.884140695730308
84,76,36.70076142253204,16.327058835104285,36,39.84467480409874,14.30464327030197,-0.20009853590082877,-0.19873111993795295,0.20276691037618114,10,0.9056119652148835
85,70,60.8631856048646,14.121317743128278,57,68.76549923032648,14.549664824334238,-0.5520379198632882,-0.5487190546136091,0.1817398162340489,10,0.8832223412813338
86,70,66.31985163251142,11.763656711241566,82,72.05708316700698,18.657069176049095,-0.3616822399465134,-0.3598708096963639,0.16404616907412595,10,0.8446939177312925
87,70,77.47603118288211,18.89881437742242,100,81.2113985875273,12.381744396193072,-0.24262036501312434,-0.24153562418594196,0.15639324021293208,10,0.8387366582448438
88,88,61.040284221104564,8.136961866177712,53,65.77735126223163,13.694749017076076,-0.4484081277139198,-0.44598429999654726,0.17591070047292198,10,0.8512344815684818
89,42,59.238305297457686,15.465013605453976,74,64.23980774200909,7.701009085239479,-0.449161889935145,-0.44620038296853964,0.19542935779786977,10,0.9044752199340618
90,44,73.71588024272086,19.596655239051564,86,79.2920605170419,14.029030933114402,-0.3460155002755404,-0.34398409812128083,0.18658956860812626,10,0.8335773598859482
91,40,47.25413139111934,5.477070222277477,24,51.99222746353276,13.230729638111129,-0.5175585887096334,-0.5112724520046581,0.2622200922245537,10,0.8801635255598784
92,31,48.21349305240378,15.35592242944048,65,53.73057940667806,5.589682097616484,-0.561538514401191,-0.5570462062859814,0.22200225275812266,10,0.9199115598363563
93,75,48.86429826210363,18.024516605533805,82,51.87727338402186,6.267755115210229,-0.22734742450549178,-0.22624557915247648,0.16029055833595585,10,0.8895917123383146
94,71,56.829532299366626,8.541747996761064,98,64.44974109490379,16.399331134063786,-0.557554757196751,-0.5550470146606337,0.15877126451618537,10,0.8796898630960301
95,21,31.834160144529896,15.700243788268287,45,36.09634486625,18.428102565307988,-0.241880038202156,-0.23903439069389534,0.26511223426509867,10,0.8767516163173499
96,37,56.63086332275115,9.038648464240715,57,60.8432158409248,10.65926244656934,-0.4188786083590243,-0.4154545325413756,0.21331708971419233,10,0.803010679666659
97,76,40.572400349827234,6.796431977288768,36,45.20988711071681,18.357909211098423,-0.39373539090912313,-0.39104471625598564,0.20402882107036388,10,0.8890388680331073
98,87,69.45856193036691,6.303804321311356,29,74.9507729250122,13.056598127278217,-0.647944227336416,-0.6436720675957364,0.2186015347258692,10,0.8880261677031318
99,27,51.58297731148397,9.256638586980866,59,55.22087882546179,10.446234445979528,-0.3604373610356648,-0.3572095637726589,0.23396903615064282,10,0.8968875861997402
100,78,54.91238489244701,19.00537735639812,75,59.56412729885158,5.113015447011121,-0.3314211803328963,-0.3297723187392003,0.1628275173249386,10,0.8337999196568793
